Faculty,Code,Title,Description,Components,Prerequisites
ELG,3125,Signal and System Analysis ,Continuous-time and discrete-time signals. Mathematical description of systems. Properties of systems. Convolution and impulse response of continuous and discrete time LTI systems. Fourier series of periodic continuous and discrete time signals. Decomposition and approximation of signals by orthogonal functions. The Fourier transform of continuous and discrete time signals. Frequency response of systems. Frequency selective filtering. First and second order systems. Sampling and interpolation of continuous-time signals. LTI system analysis with the Laplace and the Z transforms.,"Laboratory, Lecture, Tutorial",Prerequisite:ELG 2138.
ELG,3126,Random Signals and Systems ,"Probabilistic models, conditional probability and Bayes' rule; vectors of random variables, distributions and density functions, expectations and characteristic functions.  Independence, Laws of Large Numbers, Central-Limit Theorem.  Random process concepts. Random signal analysis concepts.  Applications drawn from power systems, analog and digital circuits, communication systems and manufacturing.","Lecture, Tutorial","Prerequisite:ELG 3125. The coursesELG 3126,MAT 2377cannot be combined for units."
ELG,3136,Electronics II ,"Differential Amplifiers: BJT, MOS. Multistage Amplifiers: Frequency Response: s-Domain analysis, amplifier transfer function, frequency response of CS, CE, CB, cascode, CC and cascaded amplifiers. Feedback: general feedback structure and basic feedback topologies. Stability, frequency compensation Output Stages and Power Amplifiers: Class A, B and AB output stages. IC and MOS power amplifiers. Using computer-aided analysis of circuits in computing their electrical parameters.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 2136.
ELG,3137,Fundamentals of Semiconductor Devices ,"Modern solid-state electronic devices, their principles of operation, and fabrication. Solid state physics fundamentals, free electrons, band structure, and transport properties of semiconductors. Nonequilibrium phenomena in semiconductors. p-n junctions,  Schottky diodes, bipolar and field-effect transistors. Modern, high-performance devices. Ultrafast devices.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 2136,MAT 2384, (PHY 1124or (PHY 1121,PHY 1122))."
ELG,3155,Introduction to Control Systems ,"Introduction to control systems, dynamic systems modeling.  Laplace transforms, partial fraction methods. Block diagram and signal flow graph models, transfer functions of linear systems. Introduction to state-space models. Feedback control system characteristics, stability and Routh-Hurwitz criteria, the root locus method, design of industrial controllers, the Nyquist stability  criterion, Bode plots,  design indexes, lead and lag controllers.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3125.
ELG,3175,Introduction to Communication Systems ,"Review of linear systems, the sampling theorem, and Fourier analysis. Noiseless analysis of the linear modulation schemes: double sideband, inphase-quadrature, single sideband, vestigial sideband and conventional AM. Superheterodyne receivers. Angle modulation: phase modulation, and frequency modulation. Carson's rule. Discriminator and phase-locked loop detection of FM. Basic digital modulation techniques: ASK, PSK, FSK. Bandwidth requirements of PAM (Nyquist's criterion). Pulse code modulation and companding. Introduction to error control coding and to information theory.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3125.ELG 3126is corequisite toELG 3175.
ELG,3316,Electric Machines and Power Systems ,"Machinery principles. Three-phase systems, transformers. AC machinery fundamentals, synchronous generators, synchronous motors, induction motors. DC machinery fundamentals, dc motors and generators, special-purpose motors, single-phase induction motors.","Laboratory, Lecture, Tutorial",Prerequisites:ELG 2138.
ELG,3336,Electronics for Mechanical Engineers ,Semiconductor device characteristics and applications. Power supplies and regulators. Operational amplifiers and applications. Power amplifiers. Digital logic. Gates and gate circuits. Logic families. Combinational logic. Introduction to electronics for measurement and instrumentation. Introduction to power electronics. Laboratory experiments.,"Laboratory, Lecture, Tutorial",Prerequisite:ELG 2336.
ELG,3506,Électromagnétisme appliqué ,"Lignes de transmission: variation des signaux en fonction du temps et de la position, paramètres des lignes, impédance d'entrée, emploi comme éléments de circuit, coefficient de réflexion, rapport d'ondes stationnaires, régime transitoire. Adaptation d'impédances: transformateurs, bras réactifs, analyse avec l'abaque de Smith. Équations de Maxwell et d'ondes. Ondes électromagnétiques: propagation TEM, TE, TM. Guides d'ondes: équations de base, guide à plaques parallèles, guide rectangulaire. Introduction aux antennes. Applications aux systèmes de communication et de radar.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :MAT 2722,MAT 2784,PHY 2723."
ELG,3525,Analyse des signaux et des systèmes ,Signaux en temps continu et en temps discret. Description mathématique des systèmes. Propriétés des systèmes. Convolution et réponse impulsionnelle des systèmes linéaires continus et discrets. Séries de Fourier des signaux périodiques en temps continu et discret. Décomposition et approximation des signaux en fonctions orthogonales. Transformée de Fourier des signaux continus et discrets. Réponse en fréquence des systèmes. Filtrage sélectif en fréquence. Systèmes du premier et du second ordre. Échantillonnage et interpolation des signaux continus dans le temps. Analyse des systèmes linéaires avec la transformée de Laplace et la transformée en Z.,"Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 2538.
ELG,3526,Signaux et systèmes aléatoires ,"Modèles probabilistes, probabilité conditionnelle et règle de Bayes: vecteurs de variables aléatoires, fonction de densité de probabilité et fonction de répartition, espérance mathématique et fonction caractéristique.  Indépendance, lois des grands nombres, théorème de la limite centrale.  Concept de processus aléatoire.  Analyse de signaux aléatoires.  Exemples tirés des systèmes à grande puissance, des circuits analogiques et numériques, des systèmes de télécommunication et de manufacture.","Volet :Cours magistral, Tutoriel","Préalable :ELG 3525. Les coursELG 3526,MAT 2777ne peuvent être combinés pour l'obtention de crédits."
ELG,3536,Électronique II ,"Amplificateurs différentiels : TBJ, MOS. Amplificateurs à plusieurs étages. Réponse en fréquence : analyse dans le domaine, fonction de transfert d'un amplificateur, réponse en fréquence des amplificateurs SC, EC, BC, CASCODE, CC et en CASCADE. Contre-réaction : structure générale de contre-réaction et topologies de base en contre-réaction. stabilité, compensation en fréquence des étages de sortie et amplificateurs de puissance : étages de sortie en classe A, B et AB. amplificateurs de puissance MOS et EN CI. Utilisation de l'analyse assistée par ordinateur de circuits pour calculer leurs paramètres électriques.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 2536.
ELG,3537,Notions fondamentales des dispositifs à semi-conducteurs ,"Composants électroniques semi-conducteurs modernes, leurs principes de fonctionnement et de fabrication. Fondements de la physique du solide, électrons libres, structure de bande, et propriétés de transport des semi-conducteurs. Phénomènes hors équilibre dans les semi-conducteurs. Jonctions p-n, diodes Schottky, transistors bipolaires et à effet de champ. Dispositifs modernes de haute performance. Dispositifs ultrarapides.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 2536,MAT 2784, (PHY 1524ou (PHY 1521,PHY 1522))."
ELG,3555,Introduction aux systèmes d'asservissement ,"Introduction aux systèmes d'asservissement, modèles des systèmes dynamiques, transformées de Laplace, méthodes de fractions partielles. Modèles de schéma-bloc et graphes de fluence, fonctions de transfert de systèmes linéaires. Introduction aux modèles d'état, caractéristiques des systèmes d'asservissement à rétroaction, stabilité et critère de Rough-Hurwitz, méthode du lieu des racines, conception des asservissements industriels. Critère de stabilité de Nyquist, tracés de Bode, indices de conception, asservissements avec avance et retard.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 3525.
ELG,3575,Introduction aux systèmes de télécommunications ,"Revue des systèmes linéaires, théorème d'échantillonnage et analyse de Fourier. Analyse des méthodes de modulation linéaire en l'absence de bruit: bandes latérales uniques, doubles, résiduelles, en quadrature de phase et modulations AM avec porteuse. Récepteurs superhétérodynes. Modulation angulaire de phase et de fréquence. Règle de Carson. Démodulation de fréquence par discriminateur et circuit de verrouillage de phase. Techniques de base en modulation numérique: ASK, PSK, FSK. Largeur de bande requise pour PAM (critère de Nyquist). Modulation par impulsions et codage, compression-extension. Introduction au contrôle d'erreur par codage et à la théorie de l'information.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 3525. Concomitant :ELG 3526.
ELG,3716,Machines électriques et systèmes d'alimentation électrique ,"Principes des machines électriques. Systèmes triphasés, transformateurs. Fondements des équipements à courant alternatif, générateurs synchrones, moteurs synchrones, moteurs à induction. Fondements des équipements à courant continu, générateurs et moteurs à courant continu, moteurs pour applications spéciales, moteurs à induction monophasés.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalables :ELG 2538.
ELG,3736,Électronique pour ingénieurs en mécanique ,Caractéristiques des dispositifs à semi-conducteurs et leurs applications. Blocs d'alimentation et régularisateurs de tension. Amplificateurs opérationnels et leurs applications. Amplificateurs de puissance. Circuits logiques. Portes et circuits de porte. Familles de dispositifs logiques. Logique combinatoire. Introduction à l'électronique en mesure et en instrumentation. Introduction à l'électronique de puissance. Expériences de laboratoire.,"Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 2736.
ELG,4115,Microwave Circuits ,"Review of transmission line theory and the Smith Chart. Microstrip transmission lines. Network parameter description of microwave circuits (S, Z,Y, ABCD parameters). Impedance transformation and matching networks. Stability, gain and noise considerations. Microwave amplifier and oscillator design. Passive 2, 3, and 4 port microwave networks. Attenuators, couplers, power dividers, circulators, isolators. Computer-aided design of microwave circuits.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3106,ELG 3136."
ELG,4117,Optoelectronics and Optical Components ,"Wave-Particle duality of light. Interaction of light with matter. Review of semiconductor physics and introduction to optoelectronics. Gener ation of optical energy: light emitting diodes and lasers. Detection of optical energy: photoconductors, PIN and avalanche photodiodes. Introduction to electro-optics. Control of optical radiation: modulation and switching of light.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3106,ELG 3136."
ELG,4118,Wave Propagation and Antennas ,"Review of Maxwell's equations, Poynting's theorem and boundary conditions. Plane waves at an interface. Rectangular and circular metallic waveguides. Resonant cavities. The equivalent circuit description of discontinuities and junctions in waveguiding structures. Antenna fundamentals. Radiation integrals. Dipole and loop antennas. Microstrip antennas. Source equivalence principles. Aperture antennas. Reflector antennas. Array antennas. Antenna measurements. Use of computational electromagnetics in antenna analysis & design.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3106.
ELG,4121,Topics in Electrical Engineering II ,Topics in Electrical Engineering II,"Laboratory, Lecture, Tutorial",Permission of the Department is required.
ELG,4122,Topics in Electrical Engineering I ,Topics in Electrical Engineering I,"Laboratory, Lecture, Tutorial",Permission of the Department is required.
ELG,4125,"Electric Power Transmission, Distribution and Utilization ","Energy resources and electric power generation, transmission and distribution; simple generator models, transformers, transmission lines. Power system analysis: per unit representation, real and reactive power flow, VAR compensation, fault analysis and protection. Power system control. Power system stability. Load representation, power quality. Computational modelling of typical power system problems.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 2137,ELG 3316."
ELG,4126,Sustainable Electrical Power Systems ,"Introduction to electrical power generation and conditioning. Emerging requirements. Emerging renewable energy technologies. Fundamentals of electrical power systems. Emerging renewable electrical power systems (wind power, solar power). Network integration issues. Impact of distributed generation on network operation. ""Smart Grid"" implementation and control.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 2137,ELG 3316,ELG 3136,ELG 3155."
ELG,4137,Principles and Applications of VLSI Design ,"Introduction to VLSI technology. Electrical properties of NMOS and CMOS transistors. NMOS subsystem design and layout. Subsystem design and layout using simple static, complex static, and dynamic domino CMOS lo gic circuits. Designs of NMOS and CMOS PLA, finite state machines and memory systems. System designs using BiCMOS technology, GaAs technology, gate arrays and Field-Programmable Gate Arrays.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 2136.
ELG,4139,Electronics III ,"Design, applications, and physical limitations of operational amplifiers: filters, amplifiers, oscillators, comparators, timing circuits, and ADC/DAC circuits. Application of electronics to energy conversion and control: analysis, performance, characterization, and design of power electronic devices including power amplifiers, transistor switches, and converters using diodes, thyristors, and controllable semiconductor switches. MEMS/NEMS-based sensors and actuators: design, analysis, modeling, fabrication, and applications","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3136,ELG 3155."
ELG,4156,Linear Systems ,"Classification of finite dimensional systems, system and model properties, linearized small-signal models. Solution of state space equations, free and forced responses, weighting sequences, convolutions, system response from transfer  matrix. Writing state space equations. Review of matrix algebra, the normal form, the Cayley-Hamilton theorem. Similarity transformation, invariance of the external behaviour, diagonalization. Stability of LTI systems, the Lyapunov second method. Controllability, observability, the Kalman canonical decomposition. The Smith-McMillan form, computation of poles and zeroes.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3125,ELG 3155."
ELG,4157,Modern Control Engineering ,"Review of State space modeling concepts, controllability, observability,  poles and zeros.  Minimal realizations.  State and output feedback, spectral assignability,  pole placement techniques, full and reduced order observers,   separation principle, compensator design using observers.  Introduction to optimal control,  linear quadratic problem, algebraic Riccati equations, Kalman filtering. Introduction to nonlinear control. Applications to fuzzy systems, neural networks, genetic algorithms, and chaotic systems.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3155.
ELG,4159,Integrated Control Systems ,Microcontroller technologies. Interfacing techniques. Analog-to-digital and digital-to-analog conversions. Sensor and actuator modeling. Dynamic systems modeling and simulation. Electric drives. Design of integrated control systems. Discrete system control and stability. Z-domain.,"Laboratory, Lecture, Tutorial","Prerequisites:CEG 3136,ELG 3125,ELG 3155,ELG 3316."
ELG,4176,Communication Systems ,"Review of random signals and system concepts, and modulation and detection. Basic antenna equations. SNR link calculations. Analysis of linear modulation in the presence of noise. Analysis of angle modulation in the presence of noise.  The threshold effect, threshold extension, and preemphasis and deemphasis in angle modulation. Digital modulation techniques.  Detection principles for digital communication signals in noise: matched filter receivers, signal space concepts, maximum a posteriori receivers, maximum likelihood receivers.  Partial response signalling.  Channel coding.  Coherent and noncoherent detection. Maximum likelihood sequence estimation receivers for modulation with memory and the Viterbi algorithm. Channel capacity.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3175,ELG 3126."
ELG,4177,Digital Signal Processing ,"Review of discrete-time signals and systems, the sampling theorem, and Fourier series/transforms. Sampling rate conversions. A/D and D/A conversions. Z-transform and LTI system analysis. Minimal, maximal and mixed phase systems. Discrete Fourier Transform and Fast Fourier Transform (FFT). Windowing effects. Finite Impulse Response (FIR) filter design (linear phase, windowing, frequency sampling, Remez). Infinite Impulse Response (IIR) filter design from analog prototypes. Frequency transformations. Structures for implementation: direct, cascade, lattice, lattice-ladder, parallel. Finite word length effects. Introduction to spectral analysis. Real time implementation.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3125.
ELG,4178,Optical Communications and Networking ,"Optics review. Dielectric slab waveguides and introduction to integrated optics. Optical fibers and fiber devices (bandgap structures, Bragg reflectors). Theory of optical fiber communications. Signal degradation in optical fibers. Optical sources. Photo detectors. Optical transmitters. Optical receivers. Optical amplifiers. WDM Systems.","Laboratory, Lecture, Tutorial",Prerequisites:ELG 3106orPHY 3320
ELG,4179,Wireless Communication Fundamentals ,"Overview of wireless communications. Cellular system principles. Wireless propagation channel: average path loss, multipath and shadowing; large and small scale fading; delay and Doppler spread. Digital modulation techniques. Performance in fading channels. Spectral and power efficiency; fundamental limits. Adaptive modulation and coding. Diversity combining and MIMO systems. Multiple access methods: fixed (FDMA, TDMA, CDMA) and random (ALOHA, CSMA). Modern industrial standards (cellular and WiFi).","Laboratory, Lecture, Tutorial","Prerequisite:ELG 3175. The coursesELG 4179,CEG 4186cannot be combined for units."
ELG,4515,Circuits micro-ondes ,"Revue de la théorie des lignes de transmission et de l'abaque de Smith. Lignes de transmission micro-ruban. Représentation de circuits micro-ondes à l'aide de paramètres de réseaux (S, Z, Y, ABCD). Transformation d'impédances et réseaux d'adaptation. Stabilité, gain et bruit. Conception d'amplificateurs et d'oscillateurs micro-ondes. Circuits micro-ondes passifs à 2, 3 et 4 accès. Atténuateurs, coupleurs, diviseurs de puissance, circulateurs, isolateurs. Conception de circuits micro-ondes assistée par ordinateur.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 3506,ELG 3536."
ELG,4517,Optoélectronique et composantes optiques ,"Dualité onde-particule de la lumière. Interaction de la lumière avec la matière. Revue de la physique des semiconducteurs et introduction à l'optoélectronique. Génération de l'énergie optique: diodes électroluminescentes et lasers. Détection de l'énergie optique: photoconducteurs, photodiodes PIN et avalanche. Introduction à l'électro-optique. Commande de la radiation optique: modulation et commutation de la lumière.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 3506,ELG 3536."
ELG,4518,Propagation d'ondes et antennes ,"Revue des équations de Maxwell, du théorème de Poynting et des conditions aux frontières. Ondes planes incidentes à une interface. Guides d'ondes métalliques rectangulaires et circulaires. Cavités résonantes. Circuits équivalents de discontinuités et jonctions en guides d ondes. Fondements des antennes. Intégrales de rayonnement. Antennes dipôle et boucle. Antennes microruban. Principes des sources équivalentes. Antennes à ouvertures. Antennes à réflecteur. Réseaux d antennes. Mesures d antennes. Utilisation de la modélisation électromagnétique dans l analyse et la conception d antennes.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 3506.
ELG,4525,"Transmission, distribution et utilisation de l'énergie électrique ","Ressources énergétiques, production, transmission et distribution de l énergie électrique; modèles de générateurs, transformateurs et lignes de transmission. Analyse des systèmes de puissance: représentation unitaire, puissance active et réactive, compensation des charges réactives, analyse de défauts et protection. Contrôle et stabilité des systèmes de puissance. Représentation des charges, critères de qualité de l énergie. Simulation des problèmes typiques des réseaux d énergie.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 2537,ELG 3716."
ELG,4526,Systèmes d'énergie électrique renouvelable ,"Introduction à la production et au conditionnement de l énergie électrique. Nouvelles exigences. Technologies émergentes en énergie renouvelable. Fondements des systèmes électriques de puissance. Systèmes d énergie électrique renouvelable (énergie éolienne, énergie solaire). Intégration des réseaux. Impact de la distribution des points de production sur l opération d un réseau. Implantation et contrôle d un réseau intelligent.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 2537,ELG 3716,ELG 3536,ELG 3555."
ELG,4537,Principes et applications de la conception de circuits intégrés à très grande échelle ,"Introduction à la technologie des circuits intégrés à très grande éche lle (VLSI). Propriétés électriques des transistors NMOS et CMOS. Conception d'un sous-système NMOS et disposition des composantes. Conception de sous-systèmes et disposition des composantes en utilisant des circuits logiques CMOS statiques simples et complexes ainsi que dynamiques. Conception de réseaux logiques programmables et de machines à états finis NMOS et CMOS. Conception de sous-systèmes utilisant la technologie BiCMOS, la technologie GaAs, les réseaux logiques et les réseaux logiques programmables par l'utilisateur (FPGA).","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 2536.
ELG,4539,Électronique III ,"Conception, applications et limitations physiques des amplificateurs opérationnels : filtres, amplificateurs, oscillateurs, comparateurs, circuits de synchronisation et circuits CAN/CNA. Applications de l électronique à la conversion et au contrôle de l énergie : analyse, performance, caractérisation et conception de dispositifs d électronique de puissance incluant amplificateurs de puissances, interrupteurs à transistors, convertisseurs à diodes, thyristors, et interrupteurs contrôlables à semi-conducteurs. Capteurs et actionneurs à MEMS/NEMS : conception, analyse, modélisation, fabrication et applications.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 3536,ELG 3555."
ELG,4559,Systèmes de contrôle intégrés ,Technologies des microcontrôleurs. Techniques d'interface. Conversions analogue-digitale et digitale-analogue. Modélisation des capteurs et actionneurs. Modélisation et simulation des systèmes dynamiques. Moteurs électriques. Conception de systèmes de contrôle intégrés. Système de contrôle discret et stabilité. Transformée en Z.,"Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :CEG 3536,ELG 3525,ELG 3555,ELG 3716."
ELG,4576,Systèmes de télécommunications ,"Revue des concepts des signaux et systèmes aléatoires et de modulation et démodulation.  Équations d'antennes de base.  Calcul du budget de liaison.  Analyse de la modulation linéaire en présence de bruit. Analyse de la modulation d'angle en présence de bruit.  Effet de seuil, extension de seuil, préaccentuation et désaccentuation en modulation d'angle.  Principes de détection des signaux numériques dans le bruit: filtres adaptés, concept d'espace de signaux, récepteurs à maximum de vraisemblance et à maximum de probabilité à posteriori. Transmission à réponse partielle.  Codage de canal.  Détection cohérente et non cohérente.  Récepteur à estimation de séquence à vraisemblance maximale et algorithme de Viterbi.  Capacité d'un canal.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 3575,ELG 3526."
ELG,4577,Traitement numérique du signal ,"Revue des signaux et systèmes en temps discret, du théorème d'échantillonnage et des séries/transformées de Fourier. Conversions de fréquence d'échantillonnage. Conversions A/N et N/A. Transformée en Z et analyse de systèmes LTI. Systèmes à phase minimale, maximale et mixe. Transformée de Fourier discrète (DFT) et transformée de Fourier rapide (FFT). Effets de fenêtrage. Design de filtre à réponse impulsionnelle finie (FIR): phase linéaire, fenêtrage, échantillonnage en fréquence, Remez. Design de filtres à réponse impulsionnelle infinie (IIR) à partir de prototypes analogiques. Transformations en fréquence. Structures pour mise en oeuvre: directe, cascade, treillis, treillis-échelle, parallèle. Effets de précision numérique finie. Introduction à l'analyse spectrale. Mise en oeuvre en temps réel.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 3525.
ELG,4578,Communications optiques et réseautage ,"Revue d optique. Guides d'ondes diélectriques planaires et introduction à l optique intégrée. Fibres optiques et dispositifs à fibres (structures à bande interdite, réflecteurs Bragg). Théorie des communications par fibres optiques. Dégradation du signal dans les fibres optiques. Sources optiques. Photo-détecteurs. Émetteurs optiques. Amplificateurs optiques. Systèmes MRL.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalables :ELG 3506ouPHY 3720.
ELG,4579,Introduction aux télécommunications sans fil ,"Introduction aux communications sans fil. Principes du système cellulaire. Propagation des signaux dans le canal sans fil: attenuation moyenne, trajets multiples et ombrage; évanouissement à grande et petite échelle; retard et l'effet Doppler. Techniques de modulation numérique. Performances dans les canaux d'évanouissement. Efficacité spectrale et de puissance; limites fondamentales. Modulation et codage adaptatifs. La combinaison de la diversité et systèmes MIMO. Méthodes d'accès multiples : fixe (FDMA, TDMA, CDMA) et aléatoire (ALOHA, CSMA). Normes industrielles modernes (cellulaire et WiFi).","Volet :Laboratoire, Cours magistral, Tutoriel","Préalable :ELG 3575. Les coursELG 4579,CEG 4186ne peuvent être combinés pour l'obtention de crédits."
