Faculty,Code,Title,Description,Components,Prerequisites,TextForBERT
ELG,3175,Introduction to Communication Systems ,"Review of linear systems, the sampling theorem, and Fourier analysis. Noiseless analysis of the linear modulation schemes: double sideband, inphase-quadrature, single sideband, vestigial sideband and conventional AM. Superheterodyne receivers. Angle modulation: phase modulation, and frequency modulation. Carson's rule. Discriminator and phase-locked loop detection of FM. Basic digital modulation techniques: ASK, PSK, FSK. Bandwidth requirements of PAM (Nyquist's criterion). Pulse code modulation and companding. Introduction to error control coding and to information theory.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3125.ELG 3126is corequisite toELG 3175.,"introduction to communication systems. review of linear systems, the sampling theorem, and fourier analysis. noiseless analysis of the linear modulation schemes: double sideband, inphase-quadrature, single sideband, vestigial sideband and conventional am. superheterodyne receivers. angle modulation: phase modulation, and frequency modulation. carson's rule. discriminator and phase-locked loop detection of fm. basic digital modulation techniques: ask, psk, fsk. bandwidth requirements of pam (nyquist's criterion). pulse code modulation and companding. introduction to error control coding and to information theory. laboratory, lecture, tutorial prerequisite:elg 3125.elg 3126is corequisite toelg 3175."
ELG,3316,Electric Machines and Power Systems ,"Machinery principles. Three-phase systems, transformers. AC machinery fundamentals, synchronous generators, synchronous motors, induction motors. DC machinery fundamentals, dc motors and generators, special-purpose motors, single-phase induction motors.","Laboratory, Lecture, Tutorial",Prerequisites:ELG 2138.,"electric machines and power systems. machinery principles. three-phase systems, transformers. ac machinery fundamentals, synchronous generators, synchronous motors, induction motors. dc machinery fundamentals, dc motors and generators, special-purpose motors, single-phase induction motors. laboratory, lecture, tutorial prerequisites:elg 2138."
ELG,3336,Electronics for Mechanical Engineers ,Semiconductor device characteristics and applications. Power supplies and regulators. Operational amplifiers and applications. Power amplifiers. Digital logic. Gates and gate circuits. Logic families. Combinational logic. Introduction to electronics for measurement and instrumentation. Introduction to power electronics. Laboratory experiments.,"Laboratory, Lecture, Tutorial",Prerequisite:ELG 2336.,"electronics for mechanical engineers. semiconductor device characteristics and applications. power supplies and regulators. operational amplifiers and applications. power amplifiers. digital logic. gates and gate circuits. logic families. combinational logic. introduction to electronics for measurement and instrumentation. introduction to power electronics. laboratory experiments. laboratory, lecture, tutorial prerequisite:elg 2336."
ELG,4115,Microwave Circuits ,"Review of transmission line theory and the Smith Chart. Microstrip transmission lines. Network parameter description of microwave circuits (S, Z,Y, ABCD parameters). Impedance transformation and matching networks. Stability, gain and noise considerations. Microwave amplifier and oscillator design. Passive 2, 3, and 4 port microwave networks. Attenuators, couplers, power dividers, circulators, isolators. Computer-aided design of microwave circuits.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3106,ELG 3136.","microwave circuits. review of transmission line theory and the smith chart. microstrip transmission lines. network parameter description of microwave circuits (s, z,y, abcd parameters). impedance transformation and matching networks. stability, gain and noise considerations. microwave amplifier and oscillator design. passive 2, 3, and 4 port microwave networks. attenuators, couplers, power dividers, circulators, isolators. computer-aided design of microwave circuits. laboratory, lecture, tutorial prerequisites:elg 3106,elg 3136."
ELG,4117,Optoelectronics and Optical Components ,"Wave-Particle duality of light. Interaction of light with matter. Review of semiconductor physics and introduction to optoelectronics. Gener ation of optical energy: light emitting diodes and lasers. Detection of optical energy: photoconductors, PIN and avalanche photodiodes. Introduction to electro-optics. Control of optical radiation: modulation and switching of light.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3106,ELG 3136.","optoelectronics and optical components. wave-particle duality of light. interaction of light with matter. review of semiconductor physics and introduction to optoelectronics. gener ation of optical energy: light emitting diodes and lasers. detection of optical energy: photoconductors, pin and avalanche photodiodes. introduction to electro-optics. control of optical radiation: modulation and switching of light. laboratory, lecture, tutorial prerequisites:elg 3106,elg 3136."
ELG,4118,Wave Propagation and Antennas ,"Review of Maxwell's equations, Poynting's theorem and boundary conditions. Plane waves at an interface. Rectangular and circular metallic waveguides. Resonant cavities. The equivalent circuit description of discontinuities and junctions in waveguiding structures. Antenna fundamentals. Radiation integrals. Dipole and loop antennas. Microstrip antennas. Source equivalence principles. Aperture antennas. Reflector antennas. Array antennas. Antenna measurements. Use of computational electromagnetics in antenna analysis & design.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3106.,"wave propagation and antennas. review of maxwell's equations, poynting's theorem and boundary conditions. plane waves at an interface. rectangular and circular metallic waveguides. resonant cavities. the equivalent circuit description of discontinuities and junctions in waveguiding structures. antenna fundamentals. radiation integrals. dipole and loop antennas. microstrip antennas. source equivalence principles. aperture antennas. reflector antennas. array antennas. antenna measurements. use of computational electromagnetics in antenna analysis & design. laboratory, lecture, tutorial prerequisite:elg 3106."
ELG,4125,"Electric Power Transmission, Distribution and Utilization ","Energy resources and electric power generation, transmission and distribution; simple generator models, transformers, transmission lines. Power system analysis: per unit representation, real and reactive power flow, VAR compensation, fault analysis and protection. Power system control. Power system stability. Load representation, power quality. Computational modelling of typical power system problems.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 2137,ELG 3316.","electric power transmission, distribution and utilization. energy resources and electric power generation, transmission and distribution; simple generator models, transformers, transmission lines. power system analysis: per unit representation, real and reactive power flow, var compensation, fault analysis and protection. power system control. power system stability. load representation, power quality. computational modelling of typical power system problems. laboratory, lecture, tutorial prerequisites:elg 2137,elg 3316."
ELG,4126,Sustainable Electrical Power Systems ,"Introduction to electrical power generation and conditioning. Emerging requirements. Emerging renewable energy technologies. Fundamentals of electrical power systems. Emerging renewable electrical power systems (wind power, solar power). Network integration issues. Impact of distributed generation on network operation. ""Smart Grid"" implementation and control.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 2137,ELG 3316,ELG 3136,ELG 3155.","sustainable electrical power systems. introduction to electrical power generation and conditioning. emerging requirements. emerging renewable energy technologies. fundamentals of electrical power systems. emerging renewable electrical power systems (wind power, solar power). network integration issues. impact of distributed generation on network operation. ""smart grid"" implementation and control. laboratory, lecture, tutorial prerequisites:elg 2137,elg 3316,elg 3136,elg 3155."
ELG,4137,Principles and Applications of VLSI Design ,"Introduction to VLSI technology. Electrical properties of NMOS and CMOS transistors. NMOS subsystem design and layout. Subsystem design and layout using simple static, complex static, and dynamic domino CMOS lo gic circuits. Designs of NMOS and CMOS PLA, finite state machines and memory systems. System designs using BiCMOS technology, GaAs technology, gate arrays and Field-Programmable Gate Arrays.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 2136.,"principles and applications of vlsi design. introduction to vlsi technology. electrical properties of nmos and cmos transistors. nmos subsystem design and layout. subsystem design and layout using simple static, complex static, and dynamic domino cmos lo gic circuits. designs of nmos and cmos pla, finite state machines and memory systems. system designs using bicmos technology, gaas technology, gate arrays and field-programmable gate arrays. laboratory, lecture, tutorial prerequisite:elg 2136."
ELG,4139,Electronics III ,"Design, applications, and physical limitations of operational amplifiers: filters, amplifiers, oscillators, comparators, timing circuits, and ADC/DAC circuits. Application of electronics to energy conversion and control: analysis, performance, characterization, and design of power electronic devices including power amplifiers, transistor switches, and converters using diodes, thyristors, and controllable semiconductor switches. MEMS/NEMS-based sensors and actuators: design, analysis, modeling, fabrication, and applications","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3136,ELG 3155.","electronics iii. design, applications, and physical limitations of operational amplifiers: filters, amplifiers, oscillators, comparators, timing circuits, and adc/dac circuits. application of electronics to energy conversion and control: analysis, performance, characterization, and design of power electronic devices including power amplifiers, transistor switches, and converters using diodes, thyristors, and controllable semiconductor switches. mems/nems-based sensors and actuators: design, analysis, modeling, fabrication, and applications laboratory, lecture, tutorial prerequisites:elg 3136,elg 3155."
ELG,4156,Linear Systems ,"Classification of finite dimensional systems, system and model properties, linearized small-signal models. Solution of state space equations, free and forced responses, weighting sequences, convolutions, system response from transfer  matrix. Writing state space equations. Review of matrix algebra, the normal form, the Cayley-Hamilton theorem. Similarity transformation, invariance of the external behaviour, diagonalization. Stability of LTI systems, the Lyapunov second method. Controllability, observability, the Kalman canonical decomposition. The Smith-McMillan form, computation of poles and zeroes.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3125,ELG 3155.","linear systems. classification of finite dimensional systems, system and model properties, linearized small-signal models. solution of state space equations, free and forced responses, weighting sequences, convolutions, system response from transfer matrix. writing state space equations. review of matrix algebra, the normal form, the cayley-hamilton theorem. similarity transformation, invariance of the external behaviour, diagonalization. stability of lti systems, the lyapunov second method. controllability, observability, the kalman canonical decomposition. the smith-mcmillan form, computation of poles and zeroes. laboratory, lecture, tutorial prerequisites:elg 3125,elg 3155."
ELG,4157,Modern Control Engineering ,"Review of State space modeling concepts, controllability, observability,  poles and zeros.  Minimal realizations.  State and output feedback, spectral assignability,  pole placement techniques, full and reduced order observers,   separation principle, compensator design using observers.  Introduction to optimal control,  linear quadratic problem, algebraic Riccati equations, Kalman filtering. Introduction to nonlinear control. Applications to fuzzy systems, neural networks, genetic algorithms, and chaotic systems.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3155.,"modern control engineering. review of state space modeling concepts, controllability, observability, poles and zeros. minimal realizations. state and output feedback, spectral assignability, pole placement techniques, full and reduced order observers, separation principle, compensator design using observers. introduction to optimal control, linear quadratic problem, algebraic riccati equations, kalman filtering. introduction to nonlinear control. applications to fuzzy systems, neural networks, genetic algorithms, and chaotic systems. laboratory, lecture, tutorial prerequisite:elg 3155."
ELG,4159,Integrated Control Systems ,Microcontroller technologies. Interfacing techniques. Analog-to-digital and digital-to-analog conversions. Sensor and actuator modeling. Dynamic systems modeling and simulation. Electric drives. Design of integrated control systems. Discrete system control and stability. Z-domain.,"Laboratory, Lecture, Tutorial","Prerequisites:CEG 3136,ELG 3125,ELG 3155,ELG 3316.","integrated control systems. microcontroller technologies. interfacing techniques. analog-to-digital and digital-to-analog conversions. sensor and actuator modeling. dynamic systems modeling and simulation. electric drives. design of integrated control systems. discrete system control and stability. z-domain. laboratory, lecture, tutorial prerequisites:ceg 3136,elg 3125,elg 3155,elg 3316."
ELG,4176,Communication Systems ,"Review of random signals and system concepts, and modulation and detection. Basic antenna equations. SNR link calculations. Analysis of linear modulation in the presence of noise. Analysis of angle modulation in the presence of noise.  The threshold effect, threshold extension, and preemphasis and deemphasis in angle modulation. Digital modulation techniques.  Detection principles for digital communication signals in noise: matched filter receivers, signal space concepts, maximum a posteriori receivers, maximum likelihood receivers.  Partial response signalling.  Channel coding.  Coherent and noncoherent detection. Maximum likelihood sequence estimation receivers for modulation with memory and the Viterbi algorithm. Channel capacity.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 3175,ELG 3126.","communication systems. review of random signals and system concepts, and modulation and detection. basic antenna equations. snr link calculations. analysis of linear modulation in the presence of noise. analysis of angle modulation in the presence of noise. the threshold effect, threshold extension, and preemphasis and deemphasis in angle modulation. digital modulation techniques. detection principles for digital communication signals in noise: matched filter receivers, signal space concepts, maximum a posteriori receivers, maximum likelihood receivers. partial response signalling. channel coding. coherent and noncoherent detection. maximum likelihood sequence estimation receivers for modulation with memory and the viterbi algorithm. channel capacity. laboratory, lecture, tutorial prerequisites:elg 3175,elg 3126."
ELG,4177,Digital Signal Processing ,"Review of discrete-time signals and systems, the sampling theorem, and Fourier series/transforms. Sampling rate conversions. A/D and D/A conversions. Z-transform and LTI system analysis. Minimal, maximal and mixed phase systems. Discrete Fourier Transform and Fast Fourier Transform (FFT). Windowing effects. Finite Impulse Response (FIR) filter design (linear phase, windowing, frequency sampling, Remez). Infinite Impulse Response (IIR) filter design from analog prototypes. Frequency transformations. Structures for implementation: direct, cascade, lattice, lattice-ladder, parallel. Finite word length effects. Introduction to spectral analysis. Real time implementation.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3125.,"digital signal processing. review of discrete-time signals and systems, the sampling theorem, and fourier series/transforms. sampling rate conversions. a/d and d/a conversions. z-transform and lti system analysis. minimal, maximal and mixed phase systems. discrete fourier transform and fast fourier transform (fft). windowing effects. finite impulse response (fir) filter design (linear phase, windowing, frequency sampling, remez). infinite impulse response (iir) filter design from analog prototypes. frequency transformations. structures for implementation: direct, cascade, lattice, lattice-ladder, parallel. finite word length effects. introduction to spectral analysis. real time implementation. laboratory, lecture, tutorial prerequisite:elg 3125."
ELG,4178,Optical Communications and Networking ,"Optics review. Dielectric slab waveguides and introduction to integrated optics. Optical fibers and fiber devices (bandgap structures, Bragg reflectors). Theory of optical fiber communications. Signal degradation in optical fibers. Optical sources. Photo detectors. Optical transmitters. Optical receivers. Optical amplifiers. WDM Systems.","Laboratory, Lecture, Tutorial",Prerequisites:ELG 3106orPHY 3320,"optical communications and networking. optics review. dielectric slab waveguides and introduction to integrated optics. optical fibers and fiber devices (bandgap structures, bragg reflectors). theory of optical fiber communications. signal degradation in optical fibers. optical sources. photo detectors. optical transmitters. optical receivers. optical amplifiers. wdm systems. laboratory, lecture, tutorial prerequisites:elg 3106orphy 3320"
ELG,4179,Wireless Communication Fundamentals ,"Overview of wireless communications. Cellular system principles. Wireless propagation channel: average path loss, multipath and shadowing; large and small scale fading; delay and Doppler spread. Digital modulation techniques. Performance in fading channels. Spectral and power efficiency; fundamental limits. Adaptive modulation and coding. Diversity combining and MIMO systems. Multiple access methods: fixed (FDMA, TDMA, CDMA) and random (ALOHA, CSMA). Modern industrial standards (cellular and WiFi).","Laboratory, Lecture, Tutorial","Prerequisite:ELG 3175. The coursesELG 4179,CEG 4186cannot be combined for units.","wireless communication fundamentals. overview of wireless communications. cellular system principles. wireless propagation channel: average path loss, multipath and shadowing; large and small scale fading; delay and doppler spread. digital modulation techniques. performance in fading channels. spectral and power efficiency; fundamental limits. adaptive modulation and coding. diversity combining and mimo systems. multiple access methods: fixed (fdma, tdma, cdma) and random (aloha, csma). modern industrial standards (cellular and wifi). laboratory, lecture, tutorial prerequisite:elg 3175. the courseselg 4179,ceg 4186cannot be combined for units."
ELG,5100,Software Engineering Project Management ,"Software system engineering and organization methods; work breakdown structure and task determination; effort, duration and cost estimation; scheduling and planning. Monitoring and control; analysis of options; management of risks, change, and expectations. Process and product metrics, post-performance analysis, process improvement and maturity. Management of Agile Programming methodologies such as Extreme Programming. Case studies. This course is equivalent to EACJ 5211 at Carleton University.",Lecture,,"software engineering project management. software system engineering and organization methods; work breakdown structure and task determination; effort, duration and cost estimation; scheduling and planning. monitoring and control; analysis of options; management of risks, change, and expectations. process and product metrics, post-performance analysis, process improvement and maturity. management of agile programming methodologies such as extreme programming. case studies. this course is equivalent to eacj 5211 at carleton university. lecture"
ELG,5103,Optical Communications Systems ,"Optical communication system concepts and basic characteristics. Optical Transmitters. Optical detection. Optical noise sources and their mathematical models. Non-coherent (direct) detection: system model, direct detection of intensity modulation, application of photo-multiplication, optimal post-detection processing, and subcarrier systems. Coherent detection: heterodyne receivers, the field matching problem and receiver performance. Optical binary digital system, single-mode binary and heterodyne binary systems. Block coded digital optical communication systems: PPM, PAM, PSK, and FSK signalling. Integration of device technology and system architecture. Selected topics in optical communications and networking. This course is equivalent to EACJ 5201 at Carleton University.",Lecture,,"optical communications systems. optical communication system concepts and basic characteristics. optical transmitters. optical detection. optical noise sources and their mathematical models. non-coherent (direct) detection: system model, direct detection of intensity modulation, application of photo-multiplication, optimal post-detection processing, and subcarrier systems. coherent detection: heterodyne receivers, the field matching problem and receiver performance. optical binary digital system, single-mode binary and heterodyne binary systems. block coded digital optical communication systems: ppm, pam, psk, and fsk signalling. integration of device technology and system architecture. selected topics in optical communications and networking. this course is equivalent to eacj 5201 at carleton university. lecture"
ELG,5104,Electromagnetic Waves Theory and Applications ,The homogeneous wave equation. Uniform and nonuniform plane waves. Inhomogeneous wave equations. Green's functions. Theory of potentials. Scattering problems. Numerical methods. Boundary value problems. Perturbation and variational techniques. This course is equivalent to EACJ 5401 at Carleton University.,Lecture,,electromagnetic waves theory and applications. the homogeneous wave equation. uniform and nonuniform plane waves. inhomogeneous wave equations. green's functions. theory of potentials. scattering problems. numerical methods. boundary value problems. perturbation and variational techniques. this course is equivalent to eacj 5401 at carleton university. lecture
ELG,5106,Fourier Optics ,"Diffraction: Plane waves expansions, angular spectra, 2D Fourier transform, scalar and vector diffraction theory, Fresnel and Fraunhofer diffraction, coherence. Linear optical systems: Thin lenses, Gaussian beam optics, transmission functions, linear systems theory, imaging, transfer functions, aberration. Applications: Holography, diffractive optics, gratings, optical correlation. This course is equivalent to EACJ 5003 at Carleton University.",Lecture,,"fourier optics. diffraction: plane waves expansions, angular spectra, 2d fourier transform, scalar and vector diffraction theory, fresnel and fraunhofer diffraction, coherence. linear optical systems: thin lenses, gaussian beam optics, transmission functions, linear systems theory, imaging, transfer functions, aberration. applications: holography, diffractive optics, gratings, optical correlation. this course is equivalent to eacj 5003 at carleton university. lecture"
ELG,5119,Stochastic Processes ,"Probability. Random variables. Distribution and density functions. Expectation. Functions of random variables. Moments and characteristic functions. Random vectors. Sequences of random variables and convergence. Limit theorems. Stochastic processes: basic notions. Stationarity. Ergodicity. Poisson and Gaussian processes. Second order processes. Representation theorems. Markov processes and chains. CoursesELG 5119,ELG 6153(SYSC 5503) cannot be combined for units. This course is equivalent to EACJ 5109 at Carleton University.",Lecture,,"stochastic processes. probability. random variables. distribution and density functions. expectation. functions of random variables. moments and characteristic functions. random vectors. sequences of random variables and convergence. limit theorems. stochastic processes: basic notions. stationarity. ergodicity. poisson and gaussian processes. second order processes. representation theorems. markov processes and chains. courseselg 5119,elg 6153(sysc 5503) cannot be combined for units. this course is equivalent to eacj 5109 at carleton university. lecture"
ELG,5121,Multimedia Communications ,"Introduction, applications, standards. Networking technologies. Image, video and audio compression. Quality of Service and resource management. Scheduling issues for real-time MM transport. Multimedia synchronization. Multimedia and the Internet. Multimedia conferencing. Multimedia to the home. Satellites and multimedia. Multimedia applications. This course is equivalent to EACJ 5201 at Carleton University.",Lecture,,"multimedia communications. introduction, applications, standards. networking technologies. image, video and audio compression. quality of service and resource management. scheduling issues for real-time mm transport. multimedia synchronization. multimedia and the internet. multimedia conferencing. multimedia to the home. satellites and multimedia. multimedia applications. this course is equivalent to eacj 5201 at carleton university. lecture"
ELG,5124,Virtual Environments ,"Basic concepts. Virtual worlds. Hardware and software support. World modeling. Geometric modeling. Light modeling. Kinematic and dynamic models. Other physical modeling modalities. Multisensor data fusion, anthropomorphic avatars. Animation: modeling languages, scripts, real-time computer architectures. VE interfaces. Case studies. This course is equivalent to EACJ 5204 at Carleton University.",Lecture,,"virtual environments. basic concepts. virtual worlds. hardware and software support. world modeling. geometric modeling. light modeling. kinematic and dynamic models. other physical modeling modalities. multisensor data fusion, anthropomorphic avatars. animation: modeling languages, scripts, real-time computer architectures. ve interfaces. case studies. this course is equivalent to eacj 5204 at carleton university. lecture"
