StudentText,LikedCourses
i enjoy biofluid mechanics.,BMG 5302
"i am interested in courses like advanced steel structures, construction equipment management.",CVG 7126;CVG 5101
i enjoy digital image processing. i am not looking for mechanical engineering topics.,CEG 4316
i like mechanical engineering capstone project (6 units).,MCG 4322;SEG 4105
i am interested in courses like stochastic processes.,ELG 5119
"i enjoy studying areas such as applied reliability theory, wireless communication systems engineering.",MCG 5171;ELG 6168
i like higher layer network protocols. i would rather avoid purely theoretical classes.,CEG 4188
i like applied machine learning for computer engineering.,CEG 4195
i like fluid machinery.,MCG 4110
i am interested in courses like analysis and design of user interfaces.,SEG 3125
i like mechanical engineering capstone project (6 units). i would rather avoid purely theoretical classes.,MCG 4322
"i enjoy studying areas such as polymer properties and characterization, advanced power systems analysis.",CHG 8188;ELG 6303
"i enjoy studying areas such as introduction to polymer reaction engineering, fundamentals of semiconductor devices.",CHG 8187;ELG 3137
i enjoy studying areas such as sustainable electrical power systems.,ELG 4126
i enjoy studying areas such as interactive networked systems & telemedicine. i am not looking for mechanical engineering topics.,ELG 6393
i enjoy urban transportation.,CVG 7153
"i am interested in courses like electronics i, deformation and fracture of engineering materials.",ELG 2136;MCG 4135
i like design of medical devices and implants. i am not looking for mechanical engineering topics.,BMG 5311
i am interested in courses like ai-enabled wireless networks. i am not looking for mechanical engineering topics.,ELG 5143
"i am interested in courses like software construction, the internet of things. i would rather avoid purely theoretical classes.",SEG 2106;ELG 6309
"i enjoy studying areas such as nonlinear systems analysis & controls, urban transportation.",MCG 5327;CVG 7153
"i enjoy studying areas such as experimental methods in fluid mechanics, source coding and data compression.",MCG 5308;ELG 6167
i enjoy studying areas such as professional skills and responsibility. i prefer not to take unrelated subjects.,ELG 5301
i enjoy neural networks for high-speed /high frequency circuit design.,ELG 6344
i enjoy fundamentals of fire safety engineering. i am less interested in software-heavy courses.,CVG 7170
"i am interested in courses like adsorption separations for environmental applications, computational fluid dynamics of compressible flows.",CHG 4385;MCG 5334
"i am interested in courses like microwave and millimeterwave integrated circuits, advanced strength of materials and applications to biomechanical systems.",ELG 6349;MCG 3141
i like analog integrated filters.,ELG 6352;CVG 5182
i like design of artificial joint prostheses and implants.,MCG 4151
i enjoy studying areas such as dynamics and aerodynamics of low speed flight.,MCG 5311
i like orbital mechanics and space craft control.,MCG 5315
"i enjoy studying areas such as fundamentals and applications of chemical engineering thermodynamics, mechanical drafting (2 units).",CHG 3324;MCG 1102
i enjoy studying areas such as biomedical mechanical engineering capstone project: part ii (6 units). i would rather avoid purely theoretical classes.,MCG 3662
i enjoy studying areas such as biological and engineering materials.,BMG 5300
"i enjoy studying areas such as introduction to software engineering, theory of plates and shells.",SEG 2105;CVG 5147
i enjoy nuclear engineering. i prefer not to take unrelated subjects.,MCG 5322
i enjoy mechanics of unsaturated soils.,CVG 4161;ELG 6364
"i enjoy studying areas such as introduction to electronic commerce, heat transfer operations.",SEG 4189;CHG 2314
"i enjoy studying areas such as sustainable and resilient infrastructure, survivable optical networks.",CVG 5214;ELG 5383
i enjoy studying areas such as phase-locked loops and receiver synchronizers.,ELG 6366
i enjoy introduction to mobile communications.,ELG 6166
"i am interested in courses like performance and economics of v/stol aircraft, robot mechanics. i am not interested in business courses.",MCG 5310;MCG 5177
i am interested in courses like oil and gas processing. i prefer not to take unrelated subjects.,CHG 4364
i am interested in courses like software quality assurance. i am less interested in software-heavy courses.,SEG 3103
i like construction life cycle analysis.,CVG 5185;MCG 2130
i enjoy studying areas such as optical fibre communication.,ELG 6365
i like product design and development.,MCG 4143;CVG 7120
"i am interested in courses like advanced environmental engineering, introduction to biomaterials and tissue engineering.",CVG 4130;MCG 4154
i like highway geometric design.,CVG 7154
i like virtual environments. i am less interested in software-heavy courses.,ELG 5124
"i am interested in courses like ethics for design, ai, and robotics. i am not interested in business courses.",ELG 5295
i enjoy electrochemical engineering.,CHG 8300
i am interested in courses like passive microware circuits.,ELG 6351
i enjoy polymer properties and characterization.,CHG 8188
i enjoy advanced strength of materials.,MCG 3145;MCG 5375
i like medical image modalities.,ELG 5127
i am interested in courses like project information management.,CVG 5186
i am interested in courses like pattern classification and experiment design.,BMG 5305
"i am interested in courses like software project management, fundamentals of fluid dynamics.",SEG 4105;MCG 5300
i like civil engineering mechanics.,CVG 2149;CVG 4147
i like computer communication.,ELG 6121;CEG 4158
i enjoy studying areas such as integrated database and cloud systems.,ELG 6173
"i enjoy studying areas such as gas turbines, numerical methods in electromagnetic engineering.",MCG 5342;ELG 5379
"i am interested in courses like electronics for mechanical engineers, aero-acoustics.",ELG 3336;MCG 5331
i like biological and engineering materials ii. i prefer not to take unrelated subjects.,MCG 2142
"i enjoy studying areas such as 3d machine vision: from robots to the space station, structural steel design i.",MCG 5328;CVG 3147
i enjoy advanced engineering materials.,MCG 4155
i enjoy advanced reinforced concrete.,CVG 5144;ELG 5137
i enjoy simulation and optimization of electronic circuits.,ELG 6356
"i enjoy studying areas such as reinforced concrete design ii, gas dynamics.",CVG 4145;MCG 4325
i am interested in courses like biomedical mechanical engineering capstone project: part ii (6 units).,MCG 3662
i enjoy studying areas such as earthquake engineering. i am not looking for mechanical engineering topics.,CVG 5155
i am interested in courses like advanced methods for simulation of large-scale circuits and systems.,ELG 6358
i am interested in courses like theory of elasticity. i would rather avoid purely theoretical classes.,CVG 5145
i am interested in courses like membrane liquid separation processes and materials. i would rather avoid purely theoretical classes.,CHG 8194
i like civil engineering mechanics.,CVG 2149
i am interested in courses like geotechnical materials and processes.,CVG 2107
i enjoy network access techniques.,ELG 6143
"i am interested in courses like electronics for mechanical engineers, digital systems ii.",ELG 3336;CEG 3155
i like signal integrity in high-speed designs: modeling and analysis.,ELG 6341
i enjoy studying areas such as advanced digital communication.,ELG 6165
i like interactive networked systems & telemedicine.,ELG 6393
i enjoy biomechanics of movement.,MCG 4153;MCG 5350
i like advanced methods for simulation of large-scale circuits and systems.,ELG 6358;MCG 5343
i enjoy computer-aided design.,MCG 5170
i enjoy studying areas such as bioinstrumentation.,MCG 4150
"i enjoy studying areas such as cloud infrastructure and technologies, signal integrity in high-speed designs: modeling and analysis.",ELG 5164;ELG 6341
i like soil mechanics ii.,CVG 3106;ELG 6385
"i enjoy studying areas such as advanced materials in chemical engineering, micro and nano systems.",CHG 4305;MCG 5120
i enjoy advanced biochemical engineering.,CHG 8181;CVG 2116
i like space mission analysis and design.,MCG 5121;CVG 5192
i enjoy mechanics of materials ii.,CVG 3141
i enjoy sustainable and resilient infrastructure.,CVG 5214
i enjoy principles of phase equilibria and chemical reaction equilibria.,CHG 3326;MCG 5301
i like elements of computer systems.,ELG 6174;CVG 5150
i enjoy particulate and multiphase systems.,CHG 4380
i enjoy introduction to mobile communications.,ELG 5133;CHG 3305
i enjoy applied machine learning for software engineering.,SEG 4180;CHG 8304
i like introduction to software engineering.,SEG 2105;ELG 6369
i like climate-resilient infrastructures in a changing climate.,CVG 5216;CVG 5301
i am interested in courses like theory of turbulence.,MCG 5152
i enjoy studying areas such as machine vision.,ELG 5163
i enjoy studying areas such as coastal engineering.,CVG 5124
i like mechatronics. i prefer not to take unrelated subjects.,MCG 5184;ELG 5137
"i enjoy studying areas such as introduction to fluid mechanics, mechanics of materials i.",CVG 2116;CVG 2140
i am interested in courses like ubiquitous sensing for smart cities.,ELG 5142
i like advanced soil mechanics.,CVG 7101;MCG 5157
i enjoy geotechnical case studies.,CVG 7100
i enjoy biological signals.,ELG 6307;MCG 5311
i enjoy software engineering project management.,ELG 5100
i enjoy integrated circuit technology.,ELG 6359
i am interested in courses like theory of plates and shells.,CVG 5147
"i am interested in courses like continuum mechanics, theory of elasticity.",MCG 5105;CVG 5145
"i enjoy studying areas such as multimedia compression, scalability, and adaptation, combustion in premixed systems. i am not interested in business courses.",ELG 6304;MCG 5191
i am interested in courses like incompressible non-viscous flows.,MCG 5303
i like dynamics of structures.,CVG 7137;ELG 4139
i like digital image processing.,CEG 4316
"i enjoy studying areas such as biochemical engineering, structural steel design i. i prefer not to take unrelated subjects.",CHG 4381;CVG 3147
"i am interested in courses like fourier optics, ground transportation systems and vehicles. i am less interested in software-heavy courses.",ELG 6368;MCG 5314
i am interested in courses like experimental methods in fluid mechanics.,MCG 5308
i am interested in courses like optical communications systems.,ELG 5103
i am interested in courses like stochastic processes.,ELG 5119
i like advanced thermodynamics.,MCG 5343
"i enjoy studying areas such as earth retaining structures, analysis of high-speed electronic packages and interconnects. i am less interested in software-heavy courses.",CVG 7104;ELG 6354
i like advanced power systems analysis.,ELG 6303
i enjoy mixing and transport of pollutants in water bodies. i am not interested in business courses.,CVG 5183;ELG 6380
i like biological signals.,BMG 5104
i enjoy machine design.,MCG 3131
i am interested in courses like hydraulics of water supply and sewer systems.,CVG 4113
i am interested in courses like advanced timber design.,CVG 5151
i enjoy adaptive and learning systems.,ELG 6141;BMG 5103
i enjoy studying areas such as computational methods in mechanical engineering.,MCG 4127
i like introduction to polymer reaction engineering.,CHG 4331;ELG 6369
i like random signals and systems.,ELG 3126;CHG 1125
i like introduction to data communications and networking.,CEG 3185
"i am interested in courses like transport phenomena, computer-aided design in chemical engineering.",CHG 3316;CHG 4343
i enjoy physical/chemical unit operation of water and wastewater treatment.,CVG 3132;ELG 2136
i like pattern classification and experiment design.,BMG 5305;MCG 2131
i enjoy virtual environments.,ELG 5124
i like statistical thermodynamics.,MCG 5141;CHG 8194
i enjoy studying areas such as distributed systems design.,CEG 4198
"i am interested in courses like fundamentals and applications of chemical engineering thermodynamics, introduction to microfluidics.",CHG 2324;MCG 4112
i enjoy studying areas such as integrated circuit technology.,ELG 6359
i like high-performance parallel scientific computing.,MCG 5148
i like introduction to biomaterials and tissue engineering.,MCG 4154
i enjoy cloud systems and networks.,SEG 4135
i like introduction to electronic commerce. i am not interested in business courses.,SEG 4189
i enjoy studying areas such as manufacturing.,MCG 4328
i like applied machine learning for computer engineering.,CEG 4195
i enjoy studying areas such as advanced chemical engineering thermodynamics.,CHG 8123
"i am interested in courses like neuro and fuzzy control, biological signals.",MCG 5356;BMG 5104
i enjoy detection and estimation.,ELG 5179
i enjoy mechanical vibration analysis. i would rather avoid purely theoretical classes.,MCG 4308
i am interested in courses like practical applications of fire protection.,CVG 7113
i enjoy pattern classification and experiment design.,BMG 5305
i enjoy real-time systems design.,CEG 4166;ELG 5126
i am interested in courses like biomedical instrumentation. i prefer not to take unrelated subjects.,ELG 6321
i like adaptive signal processing.,ELG 6160
"i enjoy studying areas such as stochastic processes, electric power transmission, distribution and utilization.",ELG 5119;ELG 4125
i enjoy studying areas such as advanced vibration analysis.,MCG 5350
i enjoy fluid mechanics i.,MCG 3340;MCG 5184
"i enjoy studying areas such as doctoral seminar in civil engineering, analysis and design of user interfaces.",CVG 8366;SEG 3125
i enjoy electronics ii.,ELG 3136;MCG 5321
i like applied machine learning for software engineering. i prefer not to take unrelated subjects.,SEG 4180;MCG 3143
i like professional skills and responsibility. i am not looking for mechanical engineering topics.,ELG 5301;ELG 4177
i enjoy geotechnical earthquake engineering. i would rather avoid purely theoretical classes.,CVG 7109;ELG 6309
"i am interested in courses like geotechnical hazards, mechanics of unsaturated soils. i am not looking for mechanical engineering topics.",CVG 5314;CVG 5161
"i like corrosion: principles, prevention and control.",MCG 4142;ELG 6371
i enjoy people in fires.,CVG 7173
"i enjoy studying areas such as research methods for engineers, wavelets and multiresolution signal analysis.",ELG 6322;ELG 5370
i like numerical methods in electromagnetic engineering.,ELG 5379;ELG 6153
i enjoy mixing and transport of pollutants in water bodies. i prefer not to take unrelated subjects.,CVG 5183;MCG 4110
i enjoy studying areas such as robot mechanics.,MCG 4132
"i am interested in courses like fibre and waveguide components for communications and sensors, smart structures.",ELG 6371;MCG 5122
i like hydraulics of water supply and sewer systems.,CVG 4113;ELG 4125
i enjoy studying areas such as optimal control systems.,MCG 5352
i enjoy medical imaging modalities. i am less interested in software-heavy courses.,BMG 5105;MCG 4154
i like introduction to biomaterials and tissue engineering.,MCG 4154
i enjoy finite element analysis 2.,CVG 7124;MCG 5483
"i enjoy studying areas such as wind engineering, fundamentals and applications of chemical engineering thermodynamics.",CVG 5153;CHG 3324
i enjoy design of multimedia distributed database systems.,ELG 5199
i am interested in courses like introduction to microfluidics.,MCG 4112
"i am interested in courses like software construction, optical networks. i am less interested in software-heavy courses.",SEG 2106;CEG 4187
i like biomedical instrumentation.,BMG 5103;CHG 4250
"i enjoy studying areas such as passive microware circuits, real time and embedded software design.",ELG 6351;SEG 4145
i enjoy studying areas such as theory of plates and shells.,MCG 5104
i like adsorption separation processes.,CHG 8132;CHG 8195
i enjoy studying areas such as membrane gas separation processes.,CHG 8198
"i enjoy studying areas such as mechanical engineering capstone project: part ii (6 units), environmental biotechnology.",MCG 3222;CHG 4302
i am interested in courses like robot mechanics.,MCG 5177
i enjoy optimization for engineering applications. i prefer not to take unrelated subjects.,ELG 6104
i like construction equipment management.,CVG 5101
"i am interested in courses like structural dynamics, biomedical instrumentation.",CVG 4142;BMG 5103
i enjoy studying areas such as sustainable building design. i am less interested in software-heavy courses.,CVG 4147
"i enjoy studying areas such as advanced computational modeling strategies of historic buildings, advanced building characterization, conservation and rehabilitation. i am not interested in business courses.",CVG 5310;CVG 7111
i am interested in courses like adaptive and learning systems.,ELG 6141
i am interested in courses like analog integrated filters.,ELG 6352
i am interested in courses like ground transportation systems and vehicles.,MCG 5314
"i enjoy studying areas such as fluid machinery, numerical modelling in water resources.",MCG 4110;CVG 5112
i enjoy studying areas such as smart structures.,MCG 5122
i enjoy sustainable and resilient infrastructure. i prefer not to take unrelated subjects.,CVG 5214
"i am interested in courses like design of artificial organs, water treatment in northern communities. i am not looking for mechanical engineering topics.",MCG 4152;CVG 4135
i enjoy studying areas such as rf system design.,ELG 6317
"i am interested in courses like surface controlled semiconductor devices, fundamentals of semiconductor devices. i am not interested in business courses.",ELG 6382;ELG 3137
i like geotechnical case studies. i am less interested in software-heavy courses.,CVG 7100;ELG 6308
i like data encryption.,ELG 5373;CVG 5156
i enjoy electronics iii.,ELG 4139;ELG 5301
i enjoy digital logic design: principles and practices. i prefer not to take unrelated subjects.,ELG 5195;MCG 5375
i enjoy wireless communication systems engineering.,ELG 6168;MCG 5152
i enjoy studying areas such as construction life cycle analysis. i would rather avoid purely theoretical classes.,CVG 5185
i enjoy studying areas such as professional skills and responsibility. i would rather avoid purely theoretical classes.,ELG 5301
i am interested in courses like mechanical drafting (2 units).,MCG 1102
"i am interested in courses like advanced vibration analysis, radio frequency integrated circuit design.",MCG 5350;ELG 6353
i like electronics i.,ELG 2136;MCG 5375
i am interested in courses like high-performance parallel scientific computing.,MCG 5148
i like photonics networks.,ELG 5381
"i am interested in courses like software requirements analysis, micro and nano systems. i am not looking for mechanical engineering topics.",SEG 3101;MCG 4137
i like particulate and multiphase systems.,CHG 4380
i like introduction to electronic design automation algorithms and techniques.,ELG 6342;ELG 6178
"i enjoy studying areas such as climate change impacts on water resources, microwave semiconductor devices and applications.",CVG 5212;ELG 6362
"i am interested in courses like digital systems ii, numerical methods in geomechanics.",CEG 3155;CVG 7107
"i enjoy advanced building characterization, conservation and rehabilitation. i would rather avoid purely theoretical classes.",CVG 7111
"i am interested in courses like space robotics, rehabilitation of concrete structures.",MCG 5329;CVG 5190
i like compressible non-viscous flows.,MCG 5304
i like numerical methods in geomechanics. i would rather avoid purely theoretical classes.,CVG 7107
i enjoy dynamics of structures.,CVG 7137;ELG 6101
"i enjoy studying areas such as renewable fuels, digital signal processing.",CHG 8301;ELG 5376
i enjoy studying areas such as biofluid mechanics.,BMG 5302
i enjoy studying areas such as fundamentals of antenna engineering.,ELG 6367
i enjoy nonlinear optimization.,MCG 5115
"i enjoy studying areas such as wind engineering, introduction to electronic design automation algorithms and techniques.",MCG 5325;ELG 6342
i enjoy studying areas such as microwave and millimeterwave integrated circuits. i would rather avoid purely theoretical classes.,ELG 6349
i enjoy studying areas such as fundamentals of policy i: policy analysis.,BMG 5130
i enjoy advanced strength of materials and applications to biomechanical systems.,MCG 3141;MCG 5309
i like theory of turbulence.,MCG 5152;MCG 4325
"i am interested in courses like building energy systems, performance-based earthquake engineering.",MCG 4104;CVG 7181
i like compressible non-viscous flows.,MCG 5304;CVG 3106
i like advanced mechanics of reinforced concrete.,CVG 7130;ELG 5374
i enjoy advanced foundation engineering.,CVG 7105;CVG 5192
i am interested in courses like experimental methods in fluid mechanics.,MCG 5308
i enjoy tissue engineering and regenerative medicine principles.,CHG 8303
i like construction life cycle analysis. i would rather avoid purely theoretical classes.,CVG 5185;CHG 8192
"i enjoy studying areas such as fluid machinery, theory semiconductor devices.",MCG 4110;ELG 6380
i like wastewater treatment principles and design.,CVG 5308
"i am interested in courses like medical imaging modalities, biomechanics of movement. i am not looking for mechanical engineering topics.",BMG 5105;BMG 5120
"i am interested in courses like advanced structural steel design, introduction to software engineering.",CVG 5143;SEG 2105
i like engineering materials i.,MCG 2360
i enjoy studying areas such as master's seminar in civil engineering.,CVG 5366
i like process control. i am less interested in software-heavy courses.,CHG 3335;CVG 4135
i enjoy introduction to chemical process analysis and design.,CHG 2317;MCG 5308
i enjoy non-linear discontinuous dynamics and control.,MCG 5186;MCG 4135
i enjoy process control.,CHG 3335
i enjoy internal combustion engines.,MCG 4111;ELG 5374
i enjoy non-equilibrium gas dynamics. i prefer not to take unrelated subjects.,MCG 5149;CVG 5157
i like fourier optics. i am not interested in business courses.,ELG 6368;MCG 4104
i like sustainable and resilient infrastructure. i am not looking for mechanical engineering topics.,CVG 5214;CVG 4122
i enjoy nonlinear systems analysis & controls.,MCG 5327
i am interested in courses like electric circuits and machines for mechanical engineering.,ELG 2336
i like advanced dynamics with applications.,MCG 5107
"i am interested in courses like decentralized wastewater management, structural design in timber. i am less interested in software-heavy courses.",CVG 5181;CVG 4146
i like model-driven development of real-time and distributed software.,ELG 6178;CVG 7172
i enjoy building performance simulation.,MCG 5324
"i am interested in courses like introduction to control systems, long span structures.",ELG 3155;CVG 5159
i enjoy turbomachinery.,MCG 5341;MCG 4142
i enjoy dynamics of structures.,CVG 7137
i like the internet of things.,ELG 6309
i like error control coding.,ELG 5372
"i am interested in courses like virtual environments, mixing and transport of pollutants in water bodies.",ELG 5124;CVG 5183
"i am interested in courses like fluid mechanics ii, fourier optics.",MCG 3341;ELG 5106
i like highway and transportation engineering.,CVG 4150
i like vlsi design.,ELG 6384
"i enjoy studying areas such as real time and embedded software design, organic electronics.",SEG 4145;CHG 8113
i like mechatronics.,MCG 4136
"i am interested in courses like biomaterials and tissue engineering: theories and applications, deep learning and reinforcement learning.",BMG 5122;ELG 5214
i am interested in courses like particulate and multiphase systems.,CHG 4380
"i am interested in courses like convective heat and mass transfer, computer network design.",MCG 5348;CEG 4190
i am interested in courses like advanced numerical methods in chemical and biological engineering. i am not interested in business courses.,CHG 8195
i enjoy bioinstrumentation.,MCG 4150;MCG 5134
i am interested in courses like pattern classification and experiment design. i would rather avoid purely theoretical classes.,BMG 5305
i am interested in courses like performance and economics of v/stol aircraft.,MCG 5310
i enjoy advanced chemical reaction engineering. i am less interested in software-heavy courses.,CHG 8161;BMG 5311
i enjoy studying areas such as digital communications.,ELG 5375
i am interested in courses like signal processing electronics.,ELG 6388
"i am interested in courses like wood structures and fire, oil and gas processing.",CVG 7112;CHG 8302
"i am interested in courses like advanced structural dynamics, wireless communication systems engineering.",CVG 5142;ELG 6168
i like soil mechanics i. i am not interested in business courses.,CVG 3109
"i am interested in courses like compressible non-viscous flows, introduction to software engineering.",MCG 5304;SEG 2105
"i enjoy studying areas such as methodologies for discrete-event modeling and simulation, renewable fuels.",ELG 6114;CHG 8301
i enjoy fundamentals of policy i: policy analysis.,BMG 5130;CVG 5212
i enjoy studying areas such as adaptive signal processing.,ELG 5377
i like particulate and multiphase systems.,CHG 4380;MCG 4325
i am interested in courses like random vibration.,CVG 5154
"i enjoy studying areas such as introduction to microfluidics, theory of structures i.",BMG 5319;CVG 3140
i enjoy studying areas such as machine vision.,ELG 5163
i enjoy hydraulics of open channels. i am less interested in software-heavy courses.,CVG 4110
i enjoy studying areas such as model-driven development of real-time and distributed software. i am not looking for mechanical engineering topics.,ELG 6178
"i am interested in courses like master's seminar in civil engineering, plant design project (9 units).",CVG 5366;CHG 4250
i enjoy studying areas such as fire modelling. i am not interested in business courses.,CVG 7174
i am interested in courses like introduction to composite materials.,MCG 4144
i enjoy adaptive signal processing.,ELG 5377
"i enjoy studying areas such as operating system methods for real-time applications, robot mechanics. i prefer not to take unrelated subjects.",ELG 6171;MCG 5177
"i enjoy biomechanics of skeletal system, motion and tissue.",BMG 5301;ELG 3336
"i enjoy studying areas such as structural stability, advanced foundation engineering.",CVG 5149;CVG 7105
i am interested in courses like introduction to design of mechanical systems.,MCG 2101
"i enjoy studying areas such as heat transfer by conduction, computer architecture i.",MCG 5131;CEG 2136
"i enjoy studying areas such as digital logic design: principles and practices, interfacial phenomena in engineering.",ELG 5195;CHG 8196
i am interested in courses like applied machine learning. i am less interested in software-heavy courses.,ELG 5255
i enjoy studying areas such as control systems.,MCG 3307
i am interested in courses like electronics i.,ELG 2136
"i am interested in courses like soil mechanics i, conductive and radioactive heat transfer.",CVG 3109;MCG 5347
i enjoy studying areas such as pavement and materials.,CVG 7103
i enjoy reliability and maintainability in engineering design.,MCG 4329;ELG 6120
"i enjoy studying areas such as vlsi design project, people in fires.",ELG 6385;CVG 7173
i am interested in courses like planning and design of computer networks.,ELG 5137
i enjoy elements of bridge engineering.,CVG 5158
"i am interested in courses like integrated circuit technology, application of mathematical methods to chemical engineering.",ELG 6359;CHG 3331
i enjoy studying areas such as wind engineering.,MCG 5325
"i enjoy studying areas such as wavelets and multiresolution signal analysis, real-time systems design. i am not looking for mechanical engineering topics.",ELG 5370;CEG 4166
"i am interested in courses like computer-aided design, process control.",MCG 5170;CHG 3335
i am interested in courses like sensor fusion for autonomous systems.,ELG 6312
i enjoy studying areas such as advanced vibration analysis.,MCG 5350
"i enjoy studying areas such as advanced foundation engineering, computer-aided design in chemical engineering.",CVG 7105;CHG 4343
i like signal and system analysis. i prefer not to take unrelated subjects.,ELG 3125;MCG 5321
i like product design and development.,MCG 4143;CHG 3122
i like simulation and modelling. i would rather avoid purely theoretical classes.,ELG 6101
i like interfacial phenomena in engineering.,CHG 8196;MCG 5120
i am interested in courses like numerical computation of fluid dynamics and heat transfer.,MCG 5157
"i enjoy studying areas such as finite element analysis 2, biofluid mechanics.",CVG 7124;BMG 5302
i am interested in courses like information theory.,ELG 5170
i enjoy numerical methods for geotechnical engineers.,CVG 5175
