StudentText,LikedCourses
I am interested in courses like Optical Communications Systems.,ELG 5103
I like Introduction to Software Engineering.,SEG 2105;CVG 7104
I enjoy Theory of Viscous Flows.,MCG 5301;SEG 3125
I am interested in courses like Plant Design Project (9 units). I am not looking for mechanical engineering topics.,CHG 4250
"I enjoy studying areas such as Biological Signals, Theory of Plates and Shells.",BMG 5104;MCG 5104
I am interested in courses like Performance and Economics of V/Stol Aircraft.,MCG 5310
"I am interested in courses like 3D Machine Vision: From Robots to the Space Station, System Dynamics.",MCG 5328;MCG 3306
I enjoy Submicron Cmos and Bicmos Circuits for Sampled Data Applications.,ELG 6376;BMG 5301
"I enjoy studying areas such as Virtual Environments, Fluid Machinery.",ELG 5124;MCG 4110
I like Non-Linear Discontinuous Dynamics and Control. I am not looking for mechanical engineering topics.,MCG 5186;ELG 6171
I enjoy Theory Semiconductor Devices.,ELG 6380;MCG 4328
I like Software Design and Architecture. I am not looking for mechanical engineering topics.,SEG 3102
I like Methods of Energy Conversion.,MCG 5321;ELG 6101
I like Source Coding and Data Compression.,ELG 6167
I enjoy Fundamentals of Fluid Dynamics. I am not looking for mechanical engineering topics.,MCG 5300
"I enjoy studying areas such as Design of Secure Computer Systems, Heat Transfer by Convection. I am not looking for mechanical engineering topics.",CEG 4399;MCG 5132
I like Instrumentation Techniques.,MCG 5332;CVG 2107
"I am interested in courses like Performance-Based Earthquake Engineering, Geotechnical Hazards. I am not looking for mechanical engineering topics.",CVG 7181;CVG 5314
I enjoy studying areas such as Non-Equilibrium Gas Dynamics.,MCG 5149
I enjoy Statistical Thermodynamics. I would rather avoid purely theoretical classes.,MCG 5141;CVG 5161
I like Finite Element Methods II.,CVG 5157
"I am interested in courses like Fluid Mechanics II, Gas Turbine Combustion.",MCG 3341;MCG 5344
"I am interested in courses like Process Synthesis, Design and Economics.",CHG 3112
I like Gas Turbines. I am not interested in business courses.,MCG 5342
I enjoy Wireless Communication Fundamentals. I am less interested in software-heavy courses.,ELG 4179;CVG 5143
I like Operating System Methods for Real-Time Applications.,ELG 6171
"I enjoy studying areas such as Heat Transfer by Conduction, Electronics II.",MCG 5131;ELG 3136
"I enjoy studying areas such as Resource Management on Distributed Systems, Chemical Engineering Fundamentals.",ELG 6306;CHG 1125
I enjoy studying areas such as Theory Semiconductor Devices.,ELG 6380
"I enjoy studying areas such as Process Synthesis, Design and Economics.",CHG 3112
I am interested in courses like Silicon Photonics.,ELG 6301
I enjoy studying areas such as Digital Systems II. I would rather avoid purely theoretical classes.,CEG 3155
I enjoy studying areas such as Soil Mechanics I.,CVG 3109
"I am interested in courses like Membrane Gas Separation Processes, Computer Communication.",CHG 8198;ELG 6121
"I enjoy studying areas such as Wood structures and fire, Blast Load Effects on Structures.",CVG 7112;CVG 7184
"I am interested in courses like Product Design and Development, Wavelets and Multiresolution Signal Analysis.",MCG 4143;ELG 5370
I enjoy Hydraulics of Open Channels.,CVG 4110;ELG 6360
I enjoy Electronics III. I prefer not to take unrelated subjects.,ELG 4139
"I enjoy Solar Cells - Principles, Materials, Systems and Operation. I would rather avoid purely theoretical classes.",ELG 6397
I enjoy Engineering Acoustics.,MCG 5330
I am interested in courses like Long Span Structures. I would rather avoid purely theoretical classes.,CVG 5159
I enjoy studying areas such as Optoelectronics and Optical Components.,ELG 4117
I enjoy Introduction to Software Engineering. I am not interested in business courses.,SEG 2105;CVG 4107
"I am interested in courses like High-Speed and Low-Power Vlsi, Independent Engineering Study.",ELG 6381;MCG 5398
I enjoy Rehabilitation of Concrete Structures.,CVG 5190
"I enjoy studying areas such as Incompressible Non-Viscous Flows, Advanced Strength of Materials.",MCG 5303;MCG 3145
I like Structural Stability.,CVG 5149;CHG 4250
"I enjoy studying areas such as Advanced Biochemical Engineering, Digital Control Systems. I am not looking for mechanical engineering topics.",CHG 8181;CEG 4140
I enjoy studying areas such as Reliability and Maintainability in Engineering Design.,MCG 4329
I enjoy Advanced Digital Communication.,ELG 5180;MCG 5310
I am interested in courses like Fundamentals and Applications of Chemical Engineering Thermodynamics. I prefer not to take unrelated subjects.,CHG 2324
I enjoy Decentralized Wastewater Management.,CVG 5181;ELG 6354
I enjoy Construction Management.,CVG 4173
I enjoy Digital Signal Processing.,ELG 4177
I like Heat Transfer by Conduction.,MCG 5131
"I enjoy studying areas such as Combustion in Diffusion Systems, Theory of Plates and Shells.",MCG 5192;MCG 5104
"I enjoy studying areas such as Introduction to Microfluidics, Chemical Reaction Engineering.",MCG 4112;CHG 3127
I enjoy studying areas such as Microsensors and Mems. I prefer not to take unrelated subjects.,ELG 6377
I like Robotics.,MCG 5353
I enjoy Inviscid Flow Theory.,MCG 5155
"I am interested in courses like Theory of Structures II, Fluid Mechanics I. I am less interested in software-heavy courses.",CVG 4148;MCG 3340
I like Electric Machines and Power Systems.,ELG 3316
I am interested in courses like Smart Antennas.,ELG 5132
I enjoy Fire Behaviour of Materials.,CVG 5320
I enjoy studying areas such as Optimal Control Systems.,MCG 5352
I enjoy Advanced Chemical Engineering Thermodynamics.,CHG 8123
I enjoy studying areas such as Radio Frequency Integrated Circuit Design.,ELG 6353
I like Systems Engineering and Integration.,MCG 5173;ELG 6174
"I enjoy studying areas such as Software Design and Architecture, Cloud Analytics.",SEG 3102;ELG 5166
I like Finite Element Analysis 1.,CVG 7122
I enjoy Applications in Biomedical Image Processing.,BMG 5107;ELG 6360
"I am interested in courses like Introduction to Microfluidics, Theory of Structures II. I prefer not to take unrelated subjects.",BMG 5319;CVG 4148
I like Chemical Engineering Practice.,CHG 3122
I like Numerical modelling in water resources.,CVG 5112;MCG 4322
"I enjoy studying areas such as Cross Layer Design for Wireless Networks, Construction Equipment Management.",ELG 6318;CVG 5101
I enjoy Distributed Systems Engineering.,ELG 6127
I enjoy Product Design and Development.,MCG 4143
I enjoy Thesis (6 units).,CVG 4260;ELG 6153
I enjoy Numerical Methods in Electromagnetic Engineering.,ELG 5379
I like Climate-Resilient Infrastructures in a Changing Climate.,CVG 5216
I enjoy Reliability and Maintainability in Engineering Design.,MCG 4329
